Binomial,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies,Regeneration Strategy,RowTree,FieldID,binomial
Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,dalrympleana,dalrympleana,Combination,,,eucalyptus dalrympleana subsp. dalrympleana
Eucalyptus dalrympleana subsp. Tasmania,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,dalrympleana,Tasmania,Combination,,,eucalyptus dalrympleana subsp. tasmania
Eucalyptus chapmaniana,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,chapmaniana,,Combination,,,eucalyptus chapmaniana
Eucalyptus lactea,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,lactea,,Combination,,,eucalyptus lactea
Eucalyptus elliptica,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,elliptica,,Combination,,,eucalyptus elliptica
Eucalyptus cinerea,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,cinerea,,Combination,,,eucalyptus cinerea
Eucalyptus cinerea subsp. cinerea,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,cinerea,cinerea,Combination,,,eucalyptus cinerea subsp. cinerea
Eucalyptus cinerea subsp. triplex,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,cinerea,triplex,Combination,,,eucalyptus cinerea subsp. triplex
Eucalyptus alligatrix,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,alligatrix,,Combination,,,eucalyptus alligatrix
Eucalyptus alligatrix subsp. alligatrix,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,alligatrix,alligatrix,Combination,,,eucalyptus alligatrix subsp. alligatrix
Eucalyptus alligatrix subsp. miscella,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,alligatrix,miscella,Combination,,,eucalyptus alligatrix subsp. miscella
Eucalyptus conspicua,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,conspicua,,Combination,,,eucalyptus conspicua
Eucalyptus cephalocarpa,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,cephalocarpa,,Combination,,,eucalyptus cephalocarpa
Eucalyptus parvula,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,parvula,,Combination,,,eucalyptus parvula
Eucalyptus kartzoffiana,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,kartzoffiana,,Combination,,,eucalyptus kartzoffiana
Eucalyptus badjensis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,badjensis,,Combination,,,eucalyptus badjensis
Eucalyptus smithii,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,smithii,,Combination,,,eucalyptus smithii
Eucalyptus wilcoxii,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,wilcoxii,,Lignotuber,,,eucalyptus wilcoxii
Eucalyptus baeuerlenii,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,baeuerlenii,,Lignotuber,,,eucalyptus baeuerlenii
Eucalyptus imlayensis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,imlayensis,,Lignotuber,,,eucalyptus imlayensis
Eucalyptus elaeophloia,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,elaeophloia,,Lignotuber,,,eucalyptus elaeophloia
Eucalyptus kitsoniana,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,kitsoniana,,Lignotuber,,,eucalyptus kitsoniana
Eucalyptus viminalis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,viminalis,,Combination,,,eucalyptus viminalis
Eucalyptus viminalis subsp. hentyensis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,viminalis,hentyensis,Combination,,,eucalyptus viminalis subsp. hentyensis
Eucalyptus viminalis subsp. viminalis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,viminalis,viminalis,Combination,,,eucalyptus viminalis subsp. viminalis
Eucalyptus viminalis subsp. pryoriana,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,viminalis,pryoriana,Combination,,,eucalyptus viminalis subsp. pryoriana
Eucalyptus viminalis subsp. cygnetensis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,viminalis,cygnetensis,Combination,,,eucalyptus viminalis subsp. cygnetensis
Eucalyptus viminalis subsp. siliceana,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,viminalis,siliceana,Combination,,,eucalyptus viminalis subsp. siliceana
Eucalyptus nobilis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,nobilis,,Combination,,,eucalyptus nobilis
Eucalyptus splendens,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,splendens,,Combination,,,eucalyptus splendens
Eucalyptus arcana,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,arcana,,Combination,,,eucalyptus arcana
Eucalyptus aromaphloia,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,aromaphloia,,Combination,,,eucalyptus aromaphloia
Eucalyptus sabulosa,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,sabulosa,,Combination,,,eucalyptus sabulosa
Eucalyptus corticosa,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,corticosa,,Combination,,,eucalyptus corticosa
Eucalyptus fulgens,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,fulgens,,Combination,,,eucalyptus fulgens
Eucalyptus acaciiformis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,acaciiformis,,Combination,,,eucalyptus acaciiformis
Eucalyptus nicholii,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,nicholii,,Combination,,,eucalyptus nicholii
Eucalyptus nova-anglica,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,nova-anglica,,Combination,,,eucalyptus nova-anglica
Eucalyptus mannifera,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,mannifera,,Combination,,,eucalyptus mannifera
Eucalyptus mannifera subsp. Alpine Victoria,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,mannifera,Alpine Victoria,Combination,,,eucalyptus mannifera subsp. alpine victoria
Eucalyptus mannifera subsp. gullickii,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,mannifera,gullickii,Combination,,,eucalyptus mannifera subsp. gullickii
Eucalyptus mannifera subsp. mannifera,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,mannifera,mannifera,Combination,,,eucalyptus mannifera subsp. mannifera
Eucalyptus scoparia,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,scoparia,,Combination,,,eucalyptus scoparia
Eucalyptus benthamii,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,benthamii,,Combination,,,eucalyptus benthamii
Eucalyptus dorrigoensis,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,dorrigoensis,,Combination,,,eucalyptus dorrigoensis
Eucalyptus macarthurii,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,macarthurii,,Combination,,,eucalyptus macarthurii
Eucalyptus cloeziana,Eucalyptus,Idiogenes,,,,cloeziana,,Combination,,,eucalyptus cloeziana
Eucalyptus rubiginosa,Eucalyptus,Eucalyptus,'Primitiva' ms,,,rubiginosa,,Combination,,,eucalyptus rubiginosa
Eucalyptus helidonica,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,helidonica,,Combination,,,eucalyptus helidonica
Eucalyptus acmenoides,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,acmenoides,,Combination,,,eucalyptus acmenoides
Eucalyptus portuensis,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,portuensis,,Combination,,,eucalyptus portuensis
Eucalyptus mediocris,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,mediocris,,Combination,,,eucalyptus mediocris
Eucalyptus apothalassica,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,apothalassica,,Combination,,,eucalyptus apothalassica
Eucalyptus psammitica,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,psammitica,,Combination,,,eucalyptus psammitica
Eucalyptus carnea,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,carnea,,Combination,,,eucalyptus carnea
Eucalyptus umbra,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,umbra,,Combination,,,eucalyptus umbra
Eucalyptus latisinensis,Eucalyptus,Eucalyptus,Eucalyptus,White-mahoganies,,latisinensis,,Combination,,,eucalyptus latisinensis
Eucalyptus pyrocarpa,Eucalyptus,Eucalyptus,Eucalyptus,Pseudostringybarks,,pyrocarpa,,Uncertain,,,eucalyptus pyrocarpa
Eucalyptus pilularis,Eucalyptus,Eucalyptus,Eucalyptus,Pseudostringybarks,,pilularis,,Uncertain,,,eucalyptus pilularis
Eucalyptus fastigata,Eucalyptus,Eucalyptus,Eucalyptus,Regnantes,,fastigata,,Uncertain,,,eucalyptus fastigata
Eucalyptus regnans,Eucalyptus,Eucalyptus,Eucalyptus,Regnantes,,regnans,,Seeder,,,eucalyptus regnans
Eucalyptus obliqua,Eucalyptus,Eucalyptus,Eucalyptus,Eucalyptus,,obliqua,,Combination,,,eucalyptus obliqua
Eucalyptus muelleriana,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,muelleriana,,Combination,,,eucalyptus muelleriana
Eucalyptus laevopinea,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,laevopinea,,Combination,,,eucalyptus laevopinea
Eucalyptus mackintii,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,mackintii,,Combination,,,eucalyptus mackintii
Eucalyptus macrorhyncha,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,macrorhyncha,,Combination,,,eucalyptus macrorhyncha
Eucalyptus macrorhyncha subsp. cannonii,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,macrorhyncha,cannonii,Combination,,,eucalyptus macrorhyncha subsp. cannonii
Eucalyptus macrorhyncha subsp. macrorhyncha,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,macrorhyncha,macrorhyncha,Combination,,,eucalyptus macrorhyncha subsp. macrorhyncha
Eucalyptus prominula,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,prominula,,Combination,,,eucalyptus prominula
Eucalyptus youmanii,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,youmanii,,Combination,,,eucalyptus youmanii
Eucalyptus williamsiana,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,williamsiana,,Combination,,,eucalyptus williamsiana
Eucalyptus cameronii,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,cameronii,,Combination,,,eucalyptus cameronii
Eucalyptus mckieana,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,mckieana,,Combination,,,eucalyptus mckieana
Eucalyptus tenella,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,tenella,,Combination,,,eucalyptus tenella
Eucalyptus ligustrina,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,ligustrina,,Combination,,,eucalyptus ligustrina
Eucalyptus sparsifolia,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,sparsifolia,,Combination,,,eucalyptus sparsifolia
Eucalyptus globoidea,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,globoidea,,Combination,,,eucalyptus globoidea
Eucalyptus yangoura,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,yangoura,,Combination,,,eucalyptus yangoura
Eucalyptus oblonga,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,oblonga,,Combination,,,eucalyptus oblonga
Eucalyptus imitans,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,imitans,,Combination,,,eucalyptus imitans
Eucalyptus conglomerata,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,conglomerata,,Combination,,,eucalyptus conglomerata
Eucalyptus tindaliae,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,tindaliae,,Combination,,,eucalyptus tindaliae
Eucalyptus reducta,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,reducta,,Combination,,,eucalyptus reducta
Eucalyptus caliginosa,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,caliginosa,,Combination,,,eucalyptus caliginosa
Eucalyptus erosa,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,erosa,,Combination,,,eucalyptus erosa
Eucalyptus eugenioides,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,eugenioides,,Combination,,,eucalyptus eugenioides
Eucalyptus expressa,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,expressa,,Combination,,,eucalyptus expressa
Eucalyptus blaxlandii,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,blaxlandii,,Combination,,,eucalyptus blaxlandii
Eucalyptus caerulea,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,caerulea,,Combination,,,eucalyptus caerulea
Eucalyptus agglomerata,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,agglomerata,,Combination,,,eucalyptus agglomerata
Eucalyptus capitellata,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,capitellata,,Combination,,,eucalyptus capitellata
Eucalyptus bensonii,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,bensonii,,Combination,,,eucalyptus bensonii
Eucalyptus camfieldii,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,camfieldii,,Combination,,,eucalyptus camfieldii
Eucalyptus aurifordina,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,aurifordina,,Combination,,,eucalyptus aurifordina
Eucalyptus arenacea,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,arenacea,,Combination,,,eucalyptus arenacea
Eucalyptus baxteri,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,baxteri,,Combination,,,eucalyptus baxteri
Eucalyptus victoriana,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,victoriana,,Combination,,,eucalyptus victoriana
Eucalyptus serraensis,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,serraensis,,Combination,,,eucalyptus serraensis
Eucalyptus verrucata,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,verrucata,,Combination,,,eucalyptus verrucata
Eucalyptus × alpina,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,× alpina,,Combination,,,eucalyptus × alpina
Eucalyptus × conjuncta,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,× conjuncta,,Combination,,,eucalyptus × conjuncta
Eucalyptus boliviana,Eucalyptus,Eucalyptus,Eucalyptus,Olsenianae,,boliviana,,Combination,,,eucalyptus boliviana
Eucalyptus deuaensis,Eucalyptus,Eucalyptus,Eucalyptus,Olsenianae,,deuaensis,,Combination,,,eucalyptus deuaensis
Eucalyptus olsenii,Eucalyptus,Eucalyptus,Eucalyptus,Olsenianae,,olsenii,,Uncertain,,,eucalyptus olsenii
Eucalyptus langleyi,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,langleyi,,Lignotuber,,,eucalyptus langleyi
Eucalyptus triflora,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,triflora,,Seeder,,,eucalyptus triflora
Eucalyptus dendromorpha,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,dendromorpha,,Seeder,,,eucalyptus dendromorpha
Eucalyptus burgessiana,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,burgessiana,,Lignotuber,,,eucalyptus burgessiana
Eucalyptus spectatrix,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,spectatrix,,Lignotuber,,,eucalyptus spectatrix
Eucalyptus stricta,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,stricta,,Lignotuber,,,eucalyptus stricta
Eucalyptus apiculata,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,apiculata,,Lignotuber,,,eucalyptus apiculata
Eucalyptus cunninghamii,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,cunninghamii,,Lignotuber,,,eucalyptus cunninghamii
Eucalyptus approximans,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,approximans,,Lignotuber,,,eucalyptus approximans
Eucalyptus microcodon,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,microcodon,,Lignotuber,,,eucalyptus microcodon
Eucalyptus codonocarpa,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,codonocarpa,,Lignotuber,,,eucalyptus codonocarpa
Eucalyptus paliformis,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,paliformis,,Seeder,,,eucalyptus paliformis
Eucalyptus kybeanensis,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,kybeanensis,,Lignotuber,,,eucalyptus kybeanensis
Eucalyptus mitchelliana,Eucalyptus,Eucalyptus,Eucalyptus,Longitudinales,,mitchelliana,,Uncertain,,,eucalyptus mitchelliana
Eucalyptus stellulata,Eucalyptus,Eucalyptus,Eucalyptus,Longitudinales,,stellulata,,Uncertain,,,eucalyptus stellulata
Eucalyptus moorei,Eucalyptus,Eucalyptus,Eucalyptus,Longitudinales,,moorei,,Lignotuber,,,eucalyptus moorei
Eucalyptus moorei subsp. 'latiuscula' ms,Eucalyptus,Eucalyptus,Eucalyptus,Longitudinales,,moorei,'latiuscula' ms,Lignotuber,,,eucalyptus moorei subsp. 'latiuscula' ms
Eucalyptus moorei subsp. moorei,Eucalyptus,Eucalyptus,Eucalyptus,Longitudinales,,moorei,moorei,Lignotuber,,,eucalyptus moorei subsp. moorei
Eucalyptus moorei subsp. serpentinicola,Eucalyptus,Eucalyptus,Eucalyptus,Longitudinales,,moorei,serpentinicola,Lignotuber,,,eucalyptus moorei subsp. serpentinicola
Eucalyptus × phoenix,Eucalyptus,Eucalyptus,Eucalyptus,Longitudinales,,× phoenix,,Uncertain,,,eucalyptus × phoenix
Eucalyptus elata,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,elata,,Combination,,,eucalyptus elata
Eucalyptus croajingolensis,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,croajingolensis,,Combination,,,eucalyptus croajingolensis
Eucalyptus robertsonii,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,robertsonii,,Combination,,,eucalyptus robertsonii
Eucalyptus radiata,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,radiata,,Combination,,,eucalyptus radiata
Eucalyptus radiata subsp. radiata,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,radiata,radiata,Combination,,,eucalyptus radiata subsp. radiata
Eucalyptus radiata subsp. sejuncta,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,radiata,sejuncta,Combination,,,eucalyptus radiata subsp. sejuncta
Eucalyptus dives,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,dives,,Combination,,,eucalyptus dives
Eucalyptus willisii,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,willisii,,Combination,,,eucalyptus willisii
Eucalyptus arenicola,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,arenicola,,Combination,,,eucalyptus arenicola
Eucalyptus falciformis,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,falciformis,,Combination,,,eucalyptus falciformis
Eucalyptus molyneuxii,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,molyneuxii,,Combination,,,eucalyptus molyneuxii
Eucalyptus pulchella,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,pulchella,,Combination,,,eucalyptus pulchella
Eucalyptus amygdalina,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,amygdalina,,Combination,,,eucalyptus amygdalina
Eucalyptus nitida,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,nitida,,Combination,,,eucalyptus nitida
Eucalyptus nebulosa,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,nebulosa,,Combination,,,eucalyptus nebulosa
Eucalyptus coccifera,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,coccifera,,Uncertain,,,eucalyptus coccifera
Eucalyptus tenuiramis,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,tenuiramis,,Combination,,,eucalyptus tenuiramis
Eucalyptus risdonii,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,risdonii,,Lignotuber,,,eucalyptus risdonii
Eucalyptus × ambigua,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,× ambigua,,Combination,,,eucalyptus × ambigua
Eucalyptus × robertsonii hemispherica,Eucalyptus,Eucalyptus,Eucalyptus,Radiatae,,× robertsonii hemispherica,,Combination,,,eucalyptus × robertsonii hemispherica
Eucalyptus lacrimans,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,lacrimans,,Uncertain,,,eucalyptus lacrimans
Eucalyptus pauciflora,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,pauciflora,,Uncertain,,,eucalyptus pauciflora
Eucalyptus pauciflora subsp. hedraia,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,pauciflora,hedraia,Uncertain,,,eucalyptus pauciflora subsp. hedraia
Eucalyptus pauciflora subsp. debeuzevillei,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,pauciflora,debeuzevillei,Uncertain,,,eucalyptus pauciflora subsp. debeuzevillei
Eucalyptus pauciflora subsp. niphophila,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,pauciflora,niphophila,Uncertain,,,eucalyptus pauciflora subsp. niphophila
Eucalyptus pauciflora subsp. acerina,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,pauciflora,acerina,Uncertain,,,eucalyptus pauciflora subsp. acerina
Eucalyptus pauciflora subsp. pauciflora,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,pauciflora,pauciflora,Uncertain,,,eucalyptus pauciflora subsp. pauciflora
Eucalyptus pauciflora subsp. parvifructa,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,pauciflora,parvifructa,Uncertain,,,eucalyptus pauciflora subsp. parvifructa
Eucalyptus gregsoniana,Eucalyptus,Eucalyptus,Eucalyptus,Pauciflorae,,gregsoniana,,Lignotuber,,,eucalyptus gregsoniana
Eucalyptus luehmanniana,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,luehmanniana,,Lignotuber,,,eucalyptus luehmanniana
Eucalyptus fraxinoides,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,fraxinoides,,Seeder,,,eucalyptus fraxinoides
Eucalyptus oreades,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,oreades,,Seeder,,,eucalyptus oreades
Eucalyptus delegatensis,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,delegatensis,,Seeder,,,eucalyptus delegatensis
Eucalyptus 'tasmaniensis' ms,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,'tasmaniensis' ms,,Combination,,,eucalyptus 'tasmaniensis' ms
Eucalyptus sphaerocarpa,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,sphaerocarpa,,Combination,,,eucalyptus sphaerocarpa
Eucalyptus planchoniana,Eucalyptus,Eucalyptus,Eucalyptus,Planchonianae,,planchoniana,,Combination,,,eucalyptus planchoniana
Eucalyptus sieberi,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Considenianae,sieberi,,Combination,,,eucalyptus sieberi
Eucalyptus consideniana,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Considenianae,consideniana,,Combination,,,eucalyptus consideniana
Eucalyptus multicaulis,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Considenianae,multicaulis,,Lignotuber,,,eucalyptus multicaulis
Eucalyptus remota,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Considenianae,remota,,Combination,,,eucalyptus remota
Eucalyptus andrewsii,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Considenianae,andrewsii,,Combination,,,eucalyptus andrewsii
Eucalyptus campanulata,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Considenianae,campanulata,,Combination,,,eucalyptus campanulata
Eucalyptus olida,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Considenianae,olida,,Combination,,,eucalyptus olida
Eucalyptus haemastoma,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Haemastomae,haemastoma,,Combination,,,eucalyptus haemastoma
Eucalyptus racemosa,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Haemastomae,racemosa,,Combination,,,eucalyptus racemosa
Eucalyptus rossii,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Haemastomae,rossii,,Combination,,,eucalyptus rossii
Eucalyptus stenostoma,Eucalyptus,Eucalyptus,Eucalyptus,Stenostomae,,stenostoma,,Seeder,R193/T29,CCA3902,eucalyptus stenostoma
Eucalyptus stenostoma,Eucalyptus,Eucalyptus,Eucalyptus,Stenostomae,,stenostoma,,Seeder,R193/T30,CCA3903,eucalyptus stenostoma
Eucalyptus piperita,Eucalyptus,Eucalyptus,Eucalyptus,Piperitales,,piperita,,Combination,R193/T30,CCA3903,eucalyptus piperita
Eucalyptus piperita subsp. urceolaris,Eucalyptus,Eucalyptus,Eucalyptus,Piperitales,,piperita,urceolaris,Combination,,,eucalyptus piperita subsp. urceolaris
Eucalyptus piperita subsp. piperita,Eucalyptus,Eucalyptus,Eucalyptus,Piperitales,,piperita,piperita,Combination,,,eucalyptus piperita subsp. piperita
