UniqueID,Drought2020Scale
319,0
319,0
319,0
319,0
319,0
1969,0
1969,1
1969,1
1969,0
2879,0
2879,0
2879,0
2879,0
4197,0
4197,0
4197,0
4197,0
4611,0
4611,0
5144,0
5144,0
5144,0
5144,0
5507,0
5507,0
5507,0
5507,1
5570,0
5570,0
5570,0
5570,0
5810,0
5812,0
5812,0
5992,0
5992,0
5992,0
5992,0
103,0
103,0
103,0
1053,0
1053,0
1053,1
1072,0
1072,0
1072,0
1074,0
1074,0
1074,0
1076,0
1076,0
1076,0
1076,0
1078,0
1078,0
1078,0
1079,0
1079,0
1079,0
1079,0
1081,0
1081,0
1081,0
1087,0
1087,0
1089,0
1089,0
1090,0
1090,0
1091,0
1091,0
1091,0
1092,0
1092,0
1092,0
1094,0
1094,0
1094,0
1095,0
1095,0
1095,0
1095,1
1098,4
1098,0
1099,0
1099,0
1099,0
110,0
110,0
1101,0
1101,0
1101,0
1101,0
1101,0
1102,0
1102,0
1104,0
1104,0
1104,0
1105,0
1105,0
1106,0
1107,0
1107,0
1108,0
1108,0
1108,0
1108,0
1109,0
1109,0
1109,0
1110,0
1110,0
1110,0
1110,0
1111,0
1111,0
1112,0
1112,0
1112,0
1112,0
1113,0
1114,0
1114,0
1114,0
1116,0
1116,0
1116,0
1117,0
1117,0
1117,0
1119,0
1119,0
1119,0
1119,0
112,0
112,0
112,0
1120,0
1120,0
1121,0
1121,0
1121,0
1121,0
1122,2
1122,0
1122,0
1122,1
1123,0
1123,0
1123,0
1123,0
11239,1
11239,1
11239,0
11239,0
1126,0
1127,0
1127,0
1128,0
1128,0
1129,0
1129,0
1129,0
113,0
113,0
113,0
113,0
1131,2
1131,3
1131,3
1132,1
1132,1
1133,4
1133,3
1133,3
1133,1
1136,1
1137,4
1137,1
1137,4
1137,1
1141,2
1141,2
1141,3
1142,3
1146,4
1146,3
1147,3
1147,3
1147,2
1148,4
1148,4
1148,4
115,0
115,0
115,0
1150,0
1150,0
1150,0
1150,0
1152,1
1152,2
1152,1
1153,3
1153,4
1153,3
1153,3
1154,1
1154,1
1156,2
1156,2
116,0
116,0
116,0
1160,2
1160,3
1160,3
1160,3
1161,0
1162,0
1162,0
1164,0
1164,0
1164,0
1164,1
1165,0
1165,0
1165,0
1168,0
1168,0
1168,0
1168,0
1168,0
1168,0
1168,0
1168,0
1169,0
117,0
1170,0
1170,0
1170,0
1170,0
1171,0
1173,0
1173,0
1175,0
1175,0
1176,0
1176,0
1176,0
1176,0
1177,0
1177,0
1177,0
1177,0
1178,0
1178,0
1178,0
1178,0
118,0
118,0
1181,0
1181,0
1181,0
1181,0
1182,0
1182,0
1182,0
1182,0
1183,0
1183,0
1183,0
1184,0
1184,0
1187,0
1187,0
1187,0
1188,0
1188,0
1188,0
1189,0
1189,0
1189,0
1190,0
1190,0
1190,0
1190,0
1191,0
1191,0
1194,0
1194,0
1199,0
120,0
120,0
1202,0
1202,0
1202,0
1202,0
1206,0
1206,2
1206,3
1206,3
1207,0
1207,0
1207,0
1207,0
1208,2
1208,1
1208,0
1209,0
1209,0
1209,0
1209,0
121,0
121,0
1210,0
1219,0
1219,0
1219,0
1219,2
122,0
122,0
122,0
1220,0
1220,1
1220,0
1220,1
1222,0
1222,4
1222,4
1222,4
1222,4
1224,4
1226,2
1226,2
1226,2
1226,2
1228,2
1232,3
1232,1
1233,4
1233,4
1233,4
1235,4
1235,2
1235,0
1235,1
1236,2
1236,2
1237,4
1237,4
1237,1
1238,3
1238,2
1238,2
1238,3
1238,3
1238,3
1239,1
1239,2
1239,3
124,0
124,0
124,0
124,0
124,0
1241,2
1241,2
1242,1
1242,0
1242,0
1242,1
1243,2
1243,2
1243,1
1245,0
1245,2
1245,1
1246,0
1246,0
1246,0
1248,3
1249,0
125,0
125,0
125,0
125,0
1252,2
1253,0
1253,0
1253,0
1253,1
1254,0
1254,0
1254,0
1254,0
1255,0
1255,0
1255,0
1255,3
1257,4
1259,0
1259,0
1259,1
1259,1
126,0
1260,1
1260,1
1260,1
1261,1
1261,1
1262,0
1263,2
1263,2
1263,1
1264,0
1264,0
1265,1
1267,1
1267,1
1267,1
1269,0
1269,0
127,0
127,0
127,0
127,0
1271,1
1271,1
1272,0
1272,0
1272,0
1272,0
1275,0
1275,0
1276,0
1276,0
1276,0
1276,0
1277,1
1277,0
1277,2
1277,1
1278,1
1278,1
1279,0
1279,0
1279,0
1279,0
128,0
1281,0
1281,0
1281,0
1284,0
1284,0
1284,0
1285,0
1286,0
1289,0
1289,1
1289,0
1289,0
1289,0
129,0
129,0
129,0
129,0
1291,0
1291,0
1291,0
1292,0
1292,0
1292,0
1293,0
1293,0
1294,1
1296,0
12966,1
1297,2
1297,2
1297,2
1297,2
1298,0
1298,1
1298,0
1298,1
1299,3
1299,1
1299,2
1299,1
1299,2
130,0
1300,1
1300,1
1300,1
1301,3
1302,2
1302,0
1302,0
1302,1
1303,0
1303,0
1303,0
1303,0
1305,0
1305,0
1305,1
1306,0
1306,0
1307,0
1307,0
1307,1
1308,0
1308,0
1308,0
1308,1
1309,0
1309,0
1309,1
131,0
131,0
131,0
131,0
1313,0
1314,2
1314,1
1314,1
1314,1
1315,0
1315,0
1316,1
1316,1
1317,2
1317,2
132,0
132,0
1322,0
1322,0
1323,1
1323,1
1326,0
1326,0
1326,0
1329,0
133,0
133,0
133,2
133,2
133,0
1330,0
1330,0
1330,0
1330,0
1331,0
1331,0
1331,0
1331,0
1332,0
1334,0
1336,0
1338,0
1338,0
1339,0
1339,0
13398,1
13398,1
13398,2
13398,3
13398,1
13398,1
134,0
135,0
135,0
135,0
1350,0
1352,0
1352,0
1353,0
1353,0
1353,0
1354,0
1354,0
1354,0
1355,0
1355,0
1355,0
136,0
136,0
136,0
1360,0
1360,0
1364,0
1364,0
1364,0
1364,1
1364,1
13661,0
13661,0
13661,0
13661,0
13661,1
1368,4
1368,2
1368,2
1368,1
1369,0
1369,0
1369,0
1369,1
137,0
137,0
137,0
137,0
137,0
137,0
138,0
138,0
138,0
138,0
139,0
139,0
139,0
139,0
1391,0
1391,0
1391,0
1392,0
1392,0
1393,0
1393,0
1393,0
1393,0
140,0
140,0
140,0
140,0
1405,0
1405,0
1408,0
141,0
141,0
141,0
143,0
143,0
143,0
144,0
146,0
146,0
147,0
147,0
147,0
147,0
148,0
148,0
148,0
148,0
149,0
149,0
150,0
150,0
150,0
150,1
1500,0
1500,0
1500,0
1502,0
1506,0
1506,0
1506,0
1508,0
1508,0
1508,0
1518,0
1518,0
1518,0
1518,0
152,0
152,0
152,0
1520,0
1520,0
153,0
1530,0
1534,0
1535,0
1535,0
154,0
154,1
1540,0
1540,0
1542,0
1542,0
1542,0
1542,0
1548,0
1548,0
1548,0
1548,0
1548,0
1548,0
1548,0
155,0
155,0
155,0
155,0
1550,0
1554,0
156,0
156,0
156,0
1561,1
1561,1
1561,1
1561,1
1566,0
1566,0
1566,0
1566,0
1567,0
1567,0
1567,0
1569,0
1569,0
1569,0
157,0
157,0
157,0
157,0
158,0
158,1
158,1
158,1
1588,2
1588,0
1588,0
1588,0
159,0
159,0
159,0
159,0
1590,1
1590,1
1590,1
1590,1
1594,4
160,0
160,0
1603,0
1603,0
1603,0
161,0
161,0
1613,0
162,1
162,0
162,0
162,1
1621,0
1626,1
1626,1
1626,2
1629,0
1629,0
1629,0
1629,0
163,0
163,0
163,0
163,0
163,0
163,0
1635,0
1635,0
1636,0
1636,0
1636,0
1637,1
1637,2
1637,1
1638,0
1638,0
1638,0
1638,1
1639,2
1639,3
164,0
164,0
164,0
164,0
1642,0
1642,0
1642,0
165,0
165,0
1660,0
1660,0
1660,0
1660,0
1661,0
1661,0
1661,0
1661,0
1662,0
1662,0
1662,0
1662,0
1669,2
1669,1
1669,0
1669,1
167,0
167,0
1674,2
1674,1
1674,1
1674,1
1676,4
1676,0
1676,0
1676,0
168,0
168,1
1689,0
1689,0
1689,0
1689,0
169,0
1691,0
1691,0
1691,0
170,0
170,0
170,0
170,1
1703,0
1703,0
1703,0
1703,0
1704,0
1704,0
1708,0
1715,0
1715,0
1715,0
1715,0
1716,0
1716,0
1716,3
1716,0
1717,2
1717,3
1717,3
1717,3
172,0
1720,4
1725,4
1725,3
1726,2
1726,3
1726,2
1727,1
1727,2
1727,1
1728,4
1729,2
173,2
1730,2
1730,2
1731,4
1731,4
1732,2
1732,1
1732,1
1732,1
1732,1
1733,2
1733,0
1733,1
1733,1
1734,2
1734,2
1734,1
1735,4
1735,3
1735,3
1735,1
1736,0
1736,0
1736,0
1736,0
1737,3
1737,3
1737,2
1737,2
1738,0
1738,0
1738,1
1739,2
1739,3
1739,2
1739,2
1741,3
1741,4
1742,3
1743,4
1743,2
1744,4
1745,2
1745,1
1745,1
1746,0
1747,3
1747,0
1747,1
1747,2
1749,2
1749,1
1749,1
1749,1
175,4
175,3
1750,1
1750,2
1750,0
1750,1
1751,4
1751,1
1751,1
1751,1
1752,2
1752,1
1752,0
1752,1
1753,4
1753,4
1754,2
1755,2
1755,4
1755,2
1756,3
1756,2
1757,4
1757,4
1757,2
1758,4
1761,0
1761,0
1761,0
1761,0
1762,1
1762,3
1762,1
1762,1
1763,0
1763,0
1763,1
1763,1
1764,2
1764,1
1764,1
1765,3
1765,1
1765,1
1766,4
1767,2
1767,1
1767,1
1768,1
1768,1
1769,1
1769,1
177,0
177,0
177,0
177,1
1771,2
1772,0
1772,3
1772,3
1773,2
1773,1
1773,1
1774,3
1774,3
1774,3
178,4
178,4
178,4
178,3
179,0
179,0
179,0
179,0
179,0
179,1
1798,0
1798,0
1798,0
1798,0
180,0
180,0
180,0
1800,2
1800,2
1800,2
1800,1
1804,0
1804,0
1804,0
1804,0
1808,0
1808,0
1808,0
1808,0
181,0
181,0
181,0
1811,0
1811,0
1811,0
1811,0
1813,0
1813,0
1813,0
1813,0
1817,0
1817,0
182,0
182,0
182,0
1826,0
1826,0
1826,0
1826,0
1828,0
1828,0
1828,0
1838,0
1844,0
1844,0
1847,0
1847,0
1847,0
1847,0
185,0
185,0
1853,0
1853,0
1853,0
1853,0
1855,0
1855,0
1855,0
1855,0
186,0
186,0
186,0
186,0
186,0
186,0
186,0
1861,0
1861,0
187,0
187,0
187,0
187,0
1870,0
1870,0
1870,0
1870,0
1874,0
1874,0
1874,0
1874,0
1878,2
1878,3
1878,2
1878,1
188,0
188,0
1881,0
1883,0
1883,0
1887,2
1887,2
1887,1
1890,0
1892,0
1892,0
1892,1
1892,1
1897,0
1897,0
1897,0
1897,0
190,0
1908,0
1908,0
1908,0
1908,0
191,0
191,0
1910,0
1910,0
1910,0
1912,0
1916,0
1916,3
1917,0
1919,0
1919,0
192,0
192,0
192,0
192,0
192,0
192,0
1920,0
1928,0
1928,0
193,1
193,1
193,1
1930,0
1930,0
1931,0
1933,1
1937,0
1937,0
1937,0
1937,0
1938,0
1939,0
1939,0
194,0
1941,0
1946,0
1946,0
1946,0
195,0
195,0
195,0
195,0
1953,0
1953,0
1953,0
1953,0
1955,0
1955,0
1955,0
1955,0
1958,0
196,2
196,0
196,0
1964,4
197,0
197,0
197,0
1975,0
1975,0
1975,0
1975,0
1976,4
1976,4
1976,4
1979,2
1979,3
1979,0
1979,0
198,0
1982,4
1983,0
1983,0
1983,0
1983,0
1984,2
1985,4
1986,1
1986,1
1988,2
1989,4
1989,4
199,0
199,0
199,0
1991,0
1991,0
1991,1
200,4
200,0
200,0
201,0
201,0
201,0
202,0
202,0
202,0
202,0
203,3
204,0
204,0
204,0
205,0
205,0
205,0
206,0
206,1
2065,0
2065,0
2066,4
2067,4
2068,1
2068,1
2068,1
2069,0
207,0
207,0
207,0
207,0
2072,0
2072,0
2072,0
2072,1
2073,2
2073,2
2073,1
208,0
208,0
208,0
2080,2
2080,2
2080,1
2080,1
2081,0
2081,0
2081,0
2081,0
2082,1
2082,1
2082,1
2082,1
2082,0
2082,0
2082,0
2082,0
2083,0
2083,0
2083,0
2083,0
2084,0
2084,0
2084,0
2085,0
2085,0
2085,1
2085,1
2086,1
2086,2
2086,1
2087,3
2089,2
2089,0
2089,0
2090,4
2090,2
2092,0
2092,1
2092,0
2092,1
2093,4
2093,3
2093,3
2093,3
2098,2
2098,2
2098,3
2098,1
2099,0
2099,0
2099,0
2099,0
210,0
210,0
210,0
2102,0
2102,0
2103,0
2103,0
2103,0
2103,0
2104,0
2104,0
2104,0
2106,1
2106,1
2106,1
2107,1
2107,1
2108,1
2108,1
2109,0
211,0
211,0
2110,3
2111,0
2111,0
2111,0
2111,1
2112,1
2112,1
2112,1
2112,1
2114,0
2114,1
2115,0
2115,1
2116,0
2116,0
2116,0
2116,0
2117,0
2117,0
2117,0
2118,2
2118,0
2118,1
2118,1
2119,0
2119,0
2119,0
212,0
212,0
212,0
2120,0
2120,0
2120,0
2120,0
2123,0
2123,0
2123,0
2129,0
2129,0
2129,0
213,0
213,1
2135,0
2135,0
2135,0
214,0
214,0
214,0
2142,0
2142,0
2142,0
215,0
215,0
215,0
2154,0
216,1
2160,0
2160,0
2163,0
2163,0
2166,0
2166,0
2166,0
2166,0
2168,0
2168,0
2174,0
2175,0
218,0
218,0
218,0
2182,0
2182,0
2183,0
2183,0
2184,0
2184,0
2190,0
2190,0
2190,0
2192,0
2192,0
2193,0
2198,0
2198,0
2198,0
220,0
220,1
2202,0
2202,0
2202,0
2202,0
2207,0
2208,0
221,0
221,0
221,0
2211,0
2211,0
2211,0
2211,0
2212,2
2212,2
2212,1
2216,0
2216,1
2218,0
2218,0
222,0
222,0
222,0
2223,0
2223,0
2223,0
2227,0
2227,0
2227,0
2227,0
2228,0
2228,0
2229,0
2229,0
2230,0
2230,0
2230,0
2230,0
2232,0
2232,0
2232,0
2235,0
2235,0
2235,0
2237,1
2241,0
2241,0
2241,0
2243,0
2243,0
2243,0
2245,0
2245,0
2245,0
2245,0
2246,0
2247,2
2247,2
2247,1
2248,0
2248,0
2248,0
225,0
225,2
225,2
225,0
2251,0
2259,0
2259,0
2259,0
2259,0
2262,0
2262,0
2264,0
227,1
227,1
2272,0
2272,0
2272,0
2272,0
228,0
2281,0
2283,0
2283,0
2283,0
2284,0
2284,0
2284,0
2286,0
2286,0
2286,0
2287,0
2287,0
2287,0
2287,0
230,0
230,0
230,0
230,0
230,0
230,0
230,0
230,1
2300,0
2300,0
2300,0
2300,0
2303,0
2303,0
2303,0
2306,0
2306,0
2306,0
2306,0
2319,0
2319,0
2319,0
2319,0
232,0
232,0
232,0
234,0
234,0
234,0
234,0
235,0
235,0
235,0
236,0
236,0
237,0
237,0
237,0
237,0
238,0
238,0
238,0
238,0
239,0
239,0
239,1
240,0
240,0
241,0
241,0
241,0
241,0
242,0
243,0
243,0
2430,0
2430,0
2430,0
2430,0
2434,0
2434,0
2434,0
2435,0
2435,0
2435,0
2435,0
2436,0
2436,0
2437,0
244,0
244,0
244,0
2440,0
2440,0
2440,0
2440,0
2441,0
2441,0
2441,0
2447,0
2447,0
2447,0
245,0
245,0
245,0
245,0
245,0
2452,0
2456,0
2456,0
2456,0
2456,0
2458,0
2458,0
2464,0
2464,0
2464,0
2464,0
2468,0
247,1
248,0
248,0
248,1
248,1
2484,0
2486,0
2488,0
2488,0
2488,0
2489,0
2489,0
2489,0
249,0
249,0
249,0
2498,0
2498,0
250,0
2500,0
2500,0
2502,0
2502,0
2502,0
2505,0
2505,0
2505,0
2506,2
2506,0
2506,1
2506,1
2508,0
2508,0
2508,0
2508,0
251,0
251,0
251,0
2512,3
2512,3
2512,3
2512,1
2513,0
2514,0
2514,0
2514,0
2514,0
2518,4
2518,3
2518,3
252,0
252,0
2520,0
2520,0
2520,0
2520,0
2521,1
2521,1
2521,1
2521,1
2524,2
2524,2
2524,2
2524,1
2524,1
2525,0
2526,2
2526,0
2526,1
2526,2
2527,0
2527,0
2528,2
2528,0
2528,1
2528,1
2530,0
2530,0
2531,0
2531,0
2531,0
2531,0
2531,0
2531,0
2531,0
2532,0
2532,1
2532,1
2532,1
2533,0
2533,1
2533,1
2533,1
2534,0
2535,0
2536,0
2536,0
2538,0
2538,0
2538,0
2539,0
2539,0
2541,0
2542,0
2542,1
2543,0
2543,0
2544,0
2544,0
2544,1
2545,0
2545,1
2545,2
2545,0
2546,4
2547,1
2547,2
2547,2
2549,0
2549,0
2550,0
2550,0
2551,0
2551,0
2551,2
2552,0
2552,0
2552,0
2552,0
2553,0
2553,0
2553,1
2553,1
2554,0
2554,0
2554,0
2554,0
2555,0
2555,0
2555,0
2555,0
2556,0
2556,0
2557,0
2557,1
2558,0
2558,0
2558,0
256,1
2561,0
2561,0
2561,0
2566,0
2566,0
2566,0
2569,0
2569,0
2569,0
2569,0
2580,0
2580,0
2580,0
2580,0
2581,0
2581,0
2581,0
2582,0
2582,0
2582,0
2583,0
2583,1
2583,1
2583,1
2585,0
2585,0
2585,0
2585,0
2587,0
2587,0
2587,0
2587,0
2593,0
2593,0
2593,0
2596,0
2596,0
2596,0
2596,0
261,0
261,0
261,0
261,0
261,0
2614,0
2614,0
2619,0
2619,0
2619,0
2631,0
2631,0
2631,0
2633,0
2633,0
2633,0
2633,0
264,0
265,0
265,0
265,0
265,0
266,0
266,0
266,0
267,0
267,0
267,0
267,0
2677,0
2677,0
2677,3
2678,0
2678,0
2684,0
2684,0
2689,0
2689,0
2689,0
2689,0
2689,0
2689,0
2689,0
2689,1
269,0
269,0
269,0
269,0
270,0
270,0
271,0
271,0
271,0
2713,0
2715,0
2715,0
2715,0
2715,0
2717,0
2717,0
2717,0
2717,0
272,0
272,0
272,0
272,0
2721,0
2726,0
2726,0
2726,0
273,0
273,0
273,0
2730,0
2730,0
2730,0
2730,0
2732,0
2732,0
2732,0
2733,0
2733,0
2733,0
2733,0
2738,0
2738,0
2738,0
2738,0
2752,2
2752,2
2752,0
2752,0
2756,0
2756,0
2756,0
2756,0
276,0
276,0
276,0
2761,0
2761,0
2761,0
2767,0
2767,0
2767,0
277,0
277,0
277,0
2774,0
2774,0
2774,1
2774,1
2776,0
2776,0
278,0
2781,0
2781,0
2784,0
2784,0
2784,0
2787,0
2787,0
2787,0
2787,0
279,0
279,0
279,0
2790,0
2790,0
2790,0
2790,0
280,0
280,0
280,0
2800,0
2800,0
2800,0
2800,0
2801,0
2801,0
2801,0
2801,0
2802,0
2802,0
2802,0
2802,0
281,0
281,0
281,0
281,0
282,0
282,0
284,0
284,0
285,0
285,0
285,0
285,0
286,0
286,0
286,0
286,0
287,0
287,0
288,0
288,0
288,0
2884,0
2884,0
2884,0
2886,0
2886,0
2886,0
2886,0
2890,0
2890,0
2890,0
2890,0
2895,0
2895,0
2895,0
2895,1
2896,0
2896,0
2896,0
2896,0
2897,2
2897,1
2897,2
2897,1
2898,0
2898,0
2898,0
2898,0
2899,2
2899,1
2899,1
2899,1
290,0
290,0
2900,0
2900,1
2901,4
2901,3
2902,0
2902,0
2902,1
2902,1
2903,1
2903,1
2903,1
2905,2
2905,2
2905,0
2905,4
2908,3
2908,3
2908,2
2908,2
291,0
291,0
2911,2
2911,3
2911,2
2911,1
2912,2
2917,0
2917,0
2918,0
2918,0
2918,0
2918,1
292,0
292,0
292,0
292,0
2920,1
2920,1
2920,1
2921,2
2921,3
2921,2
2924,4
2927,0
2927,0
2927,0
2927,0
2928,0
2928,0
293,0
293,0
2930,0
2930,0
2930,0
2932,0
2932,0
2932,0
2932,0
2932,1
2935,2
2937,0
2937,0
2937,1
2937,1
2939,4
2939,4
2939,2
2939,3
294,2
294,0
294,0
2941,4
2941,4
2941,4
2941,3
2943,2
2943,2
2943,1
2945,1
2945,1
2945,0
2945,1
2946,2
2946,2
2946,3
2946,3
2948,4
2948,4
2948,3
2948,1
2949,3
2949,3
2949,1
295,0
295,0
295,0
2950,0
2950,0
2950,3
2950,1
2951,2
2951,1
2951,1
2951,1
2952,0
2952,2
2952,0
2952,1
2954,0
2954,0
2954,0
2954,1
2955,0
2955,0
2957,0
2957,0
2957,0
2957,0
2959,0
2959,0
2959,0
2959,0
296,0
296,0
296,0
2964,0
2964,0
2964,0
2964,0
297,0
297,0
297,0
297,0
298,0
298,0
299,0
299,0
299,0
300,0
300,0
300,0
301,0
301,0
301,0
302,0
302,0
302,0
302,0
303,0
303,0
303,0
304,0
304,0
304,0
305,0
305,0
305,0
305,0
306,0
306,0
306,0
306,0
306,0
307,0
307,0
307,0
308,0
308,0
308,0
308,0
310,0
310,0
310,0
311,0
311,0
311,0
312,0
312,1
313,0
313,0
313,0
313,0
314,0
314,0
314,0
315,0
315,0
315,0
316,0
316,0
316,0
316,0
317,0
317,0
317,0
3172,0
3172,0
3172,0
3172,0
3177,0
3177,0
3178,0
3178,0
3178,0
3179,4
3179,2
3179,0
3179,1
318,0
318,0
318,0
318,0
3180,0
3180,0
3180,1
3180,1
3182,0
3182,0
3182,0
3182,0
3183,2
3183,2
3183,1
3183,1
3203,4
3203,4
3203,2
3204,0
3204,1
3204,1
3204,1
3209,4
3209,4
3209,4
3209,1
321,0
321,0
321,0
321,0
3211,4
3211,4
3211,1
3212,4
3212,4
3212,4
322,0
322,0
322,0
323,0
323,0
323,0
324,0
324,0
324,0
325,0
325,0
325,0
326,0
326,0
326,0
326,0
327,0
327,0
328,0
328,0
328,0
328,0
329,0
329,0
329,0
330,0
330,0
330,0
330,0
331,0
331,0
333,0
333,0
333,0
335,0
335,0
336,0
337,0
337,0
337,0
338,0
338,0
338,0
339,0
339,0
339,0
339,0
340,0
340,0
340,0
341,0
341,0
342,0
342,0
342,0
342,0
3421,1
3421,0
3421,0
3421,1
3423,0
3423,0
3424,0
3424,0
3424,0
3424,0
3426,0
3426,0
3426,0
3426,0
3428,0
343,0
343,0
343,0
3433,0
3433,0
3433,1
3434,0
3434,0
3436,1
3436,3
3436,0
3436,0
3437,0
3437,0
3438,0
3438,0
3438,0
3438,0
3439,0
3439,0
3439,0
3439,0
344,0
344,0
3441,0
3441,0
3441,0
3441,0
3445,0
3445,0
3445,0
3445,0
3447,0
3447,0
3447,0
3447,0
3448,0
3448,0
3448,0
3448,0
3449,0
3449,0
3451,0
3451,0
3451,0
3453,0
3453,0
3453,0
3454,0
3454,0
3454,0
3454,1
3457,0
3457,0
3457,0
3457,0
3458,0
3458,0
3458,0
3458,0
3460,0
3460,0
3467,0
3467,0
3467,0
3468,0
3468,0
347,0
347,0
3474,0
3474,0
3474,0
3474,0
3477,0
3477,0
3477,0
3477,0
3480,0
3480,0
3480,0
3480,0
3482,0
3482,0
3482,0
3483,0
3486,0
3486,0
3486,0
3488,0
3488,0
3488,0
3488,0
3493,0
3493,0
3493,0
3496,0
3496,0
3497,0
3497,0
3497,0
3497,0
3498,0
3498,0
3498,0
3498,0
3503,0
3503,0
3503,0
3503,0
351,0
351,1
351,1
351,1
3514,4
3514,4
3514,2
3515,0
3516,0
3516,0
3516,0
3519,2
3519,1
3519,0
3519,0
3520,3
3523,2
3523,3
3523,2
3523,2
3525,0
3525,0
3525,0
3527,0
3527,0
3527,0
3527,0
3530,0
3530,0
3530,0
3532,0
3532,0
3532,0
3532,0
3533,0
3533,0
3533,0
3536,0
3536,0
3536,0
3536,0
3539,0
3539,0
3539,0
3544,0
3544,0
3544,0
3544,0
3545,0
3545,0
3549,0
3549,1
3550,3
3550,4
3553,2
3553,1
3554,0
3554,1
3554,1
3556,0
3556,0
3556,0
3556,1
3557,4
3557,4
3559,0
3559,0
3559,1
356,2
3560,4
3561,4
3561,2
3562,2
3562,1
3562,2
3563,0
3563,0
3563,0
3563,0
3564,4
3564,0
3564,1
3564,1
3565,0
3565,0
3567,0
3567,0
3567,0
3567,0
3568,0
3568,0
3568,0
3569,0
3569,0
3569,0
3570,4
3570,1
3570,0
3571,0
3571,0
3571,0
3571,1
3574,0
3574,1
3575,0
3575,0
3575,0
3576,0
3576,1
3576,1
3577,1
3577,1
3578,0
3578,0
3578,0
3579,2
3579,0
3579,0
3579,1
3583,0
3583,0
3583,0
3583,0
3584,0
3584,0
3584,0
3584,0
3585,0
3587,0
3587,0
3587,1
3588,0
3588,0
3588,0
3588,1
359,1
3590,0
3590,0
3590,0
3591,0
3592,0
3592,0
3595,0
3595,0
3595,0
3595,1
