all,genus,species,subspecies,provence,,,,,provence____,Taxa,name
Eucalyptus_burgessiana_ANBG_no_sn,Eucalyptus,burgessiana,,ANBG,no,sn,,,ANBG_no_sn__,Eucalyptus burgessiana ,eucalyptus burgessiana
Eucalyptus_burracoppinensis_CANB_794037,Eucalyptus,burracoppinensis,,CANB,794037,,,,CANB_794037___,Eucalyptus burracoppinensis ,eucalyptus burracoppinensis
Eucalyptus_cadens_285,Eucalyptus,cadens,,285,,,,,285____,Eucalyptus cadens ,eucalyptus cadens
Eucalyptus_caesia_subsp_caesia_52,Eucalyptus,caesia,caesia,,,52,,,__52__,Eucalyptus caesia subsp. caesia,eucalyptus caesia subsp. caesia
Eucalyptus_calcareana_455,Eucalyptus,calcareana,,455,,,,,455____,Eucalyptus calcareana ,eucalyptus calcareana
Eucalyptus_calcicola_subsp_calcicola_176,Eucalyptus,calcicola,calcicola,,,176,,,__176__,Eucalyptus calcicola subsp. calcicola,eucalyptus calcicola subsp. calcicola
Eucalyptus_caleyi_subsp_caleyi_651,Eucalyptus,caleyi,caleyi,,,651,,,__651__,Eucalyptus caleyi subsp. caleyi,eucalyptus caleyi subsp. caleyi
Eucalyptus_caliginosa_298,Eucalyptus,caliginosa,,298,,,,,298____,Eucalyptus caliginosa ,eucalyptus caliginosa
Eucalyptus_calycogona_subsp_calycogona_362,Eucalyptus,calycogona,calycogona,,,362,,,__362__,Eucalyptus calycogona subsp. calycogona,eucalyptus calycogona subsp. calycogona
Eucalyptus_camaldulensis_subsp_camaldulensis_ANBG_8401853,Eucalyptus,camaldulensis,camaldulensis,,,ANBG,8401853,,__ANBG_8401853_,Eucalyptus camaldulensis subsp. camaldulensis,eucalyptus camaldulensis subsp. camaldulensis
Eucalyptus_campaspe_522,Eucalyptus,campaspe,,522,,,,,522____,Eucalyptus campaspe ,eucalyptus campaspe
Eucalyptus_camphora_subsp_camphora_621,Eucalyptus,camphora,camphora,,,621,,,__621__,Eucalyptus camphora subsp. camphora,eucalyptus camphora subsp. camphora
Eucalyptus_canaliculata_698,Eucalyptus,canaliculata,,698,,,,,698____,Eucalyptus canaliculata ,eucalyptus canaliculata
Eucalyptus_canescens_subsp_canescens_181,Eucalyptus,canescens,canescens,,,181,,,__181__,Eucalyptus canescens subsp. canescens,eucalyptus canescens subsp. canescens
Eucalyptus_canobolensis_497,Eucalyptus,canobolensis,,497,,,,,497____,Eucalyptus canobolensis ,eucalyptus canobolensis
Eucalyptus_capillosa_469,Eucalyptus,capillosa,,469,,,,,469____,Eucalyptus capillosa ,eucalyptus capillosa
Eucalyptus_capitellata_260,Eucalyptus,capitellata,,260,,,,,260____,Eucalyptus capitellata ,eucalyptus capitellata
Eucalyptus_captiosa_CANB_799340,Eucalyptus,captiosa,,CANB,799340,,,,CANB_799340___,Eucalyptus captiosa ,eucalyptus captiosa
Eucalyptus_carnabyi_CANB_632591,Eucalyptus,carnabyi,,CANB,632591,,,,CANB_632591___,Eucalyptus carnabyi ,eucalyptus carnabyi
Eucalyptus_carnea_718,Eucalyptus,carnea,,718,,,,,718____,Eucalyptus carnea ,eucalyptus carnea
Eucalyptus_carnei_757,Eucalyptus,carnei,,757,,,,,757____,Eucalyptus carnei ,eucalyptus carnei
Eucalyptus_castrensis_ANBG_653995,Eucalyptus,castrensis,,ANBG,653995,,,,ANBG_653995___,Eucalyptus castrensis ,eucalyptus castrensis
Eucalyptus_celastroides_subsp_celastroides_196,Eucalyptus,celastroides,celastroides,,,196,,,__196__,Eucalyptus celastroides subsp. celastroides,eucalyptus celastroides subsp. celastroides
Eucalyptus_cephalocarpa_178,Eucalyptus,cephalocarpa,,178,,,,,178____,Eucalyptus cephalocarpa ,eucalyptus cephalocarpa
Eucalyptus_ceracea_CANB_551306,Eucalyptus,ceracea,,CANB,551306,,,,CANB_551306___,Eucalyptus ceracea ,eucalyptus ceracea
Eucalyptus_cerasiformis_CANB_586828,Eucalyptus,cerasiformis,,CANB,586828,,,,CANB_586828___,Eucalyptus cerasiformis ,eucalyptus cerasiformis
Eucalyptus_ceratocorys_519,Eucalyptus,ceratocorys,,519,,,,,519____,Eucalyptus ceratocorys ,eucalyptus ceratocorys
Eucalyptus_cernua_436,Eucalyptus,cernua,,436,,,,,436____,Eucalyptus cernua ,eucalyptus cernua
Eucalyptus_chartaboma_CANB_703248,Eucalyptus,chartaboma,,CANB,703248,,,,CANB_703248___,Eucalyptus chartaboma ,eucalyptus chartaboma
Eucalyptus_chlorophylla_CANB_785565,Eucalyptus,chlorophylla,,CANB,785565,,,,CANB_785565___,Eucalyptus chlorophylla ,eucalyptus chlorophylla
Eucalyptus_cinerea_subsp_triplex_8703938,Eucalyptus,cinerea,triplex,,,8703938,,,__8703938__,Eucalyptus cinerea subsp. triplex,eucalyptus cinerea subsp. triplex
Eucalyptus_cladocalyx_ANBG_652722,Eucalyptus,cladocalyx,,ANBG,652722,,,,ANBG_652722___,Eucalyptus cladocalyx ,eucalyptus cladocalyx
Eucalyptus_clelandii_581,Eucalyptus,clelandii,,581,,,,,581____,Eucalyptus clelandii ,eucalyptus clelandii
Eucalyptus_clivicola_66,Eucalyptus,clivicola,,66,,,,,66____,Eucalyptus clivicola ,eucalyptus clivicola
Eucalyptus_cloeziana_241,Eucalyptus,cloeziana,,241,,,,,241____,Eucalyptus cloeziana ,eucalyptus cloeziana
Eucalyptus_cneorifolia_195,Eucalyptus,cneorifolia,,195,,,,,195____,Eucalyptus cneorifolia ,eucalyptus cneorifolia
Eucalyptus_comitae_vallis_465,Eucalyptus,comitae,,vallis,465,,,,vallis_465___,Eucalyptus comitae ,eucalyptus comitae
Eucalyptus_communalis_502,Eucalyptus,communalis,,502,,,,,502____,Eucalyptus communalis ,eucalyptus communalis
Eucalyptus_concinna_457,Eucalyptus,concinna,,457,,,,,457____,Eucalyptus concinna ,eucalyptus concinna
Eucalyptus_conferruminata_subsp_recherche_114,Eucalyptus,conferruminata,recherche,,,114,,,__114__,Eucalyptus conferruminata subsp. recherche,eucalyptus conferruminata subsp. recherche
Eucalyptus_confluens_CANB_785543,Eucalyptus,confluens,,CANB,785543,,,,CANB_785543___,Eucalyptus confluens ,eucalyptus confluens
Eucalyptus_conglobata_subsp_conglobata_5,Eucalyptus,conglobata,conglobata,,,5,,,__5__,Eucalyptus conglobata subsp. conglobata,eucalyptus conglobata subsp. conglobata
Eucalyptus_conglomerata,Eucalyptus,conglomerata,,,,,,,____,Eucalyptus conglomerata ,eucalyptus conglomerata
Eucalyptus_conica_AHT_E9,Eucalyptus,conica,,AHT,E9,,,,AHT_E9___,Eucalyptus conica ,eucalyptus conica
Eucalyptus_consideniana_219,Eucalyptus,consideniana,,219,,,,,219____,Eucalyptus consideniana ,eucalyptus consideniana
Eucalyptus_conspicua_113,Eucalyptus,conspicua,,113,,,,,113____,Eucalyptus conspicua ,eucalyptus conspicua
Eucalyptus_conveniens_48,Eucalyptus,conveniens,,48,,,,,48____,Eucalyptus conveniens ,eucalyptus conveniens
Eucalyptus_coolabah_MC_10582,Eucalyptus,coolabah,,MC,10582,,,,MC_10582___,Eucalyptus coolabah ,eucalyptus coolabah
Eucalyptus_cooperiana_293,Eucalyptus,cooperiana,,293,,,,,293____,Eucalyptus cooperiana ,eucalyptus cooperiana
Eucalyptus_cordata_ANBG_8804430,Eucalyptus,cordata,,ANBG,8804430,,,,ANBG_8804430___,Eucalyptus cordata ,eucalyptus cordata
Eucalyptus_cornuta_65,Eucalyptus,cornuta,,65,,,,,65____,Eucalyptus cornuta ,eucalyptus cornuta
Eucalyptus_coronata_658,Eucalyptus,coronata,,658,,,,,658____,Eucalyptus coronata ,eucalyptus coronata
Eucalyptus_corrugata_7,Eucalyptus,corrugata,,7,,,,,7____,Eucalyptus corrugata ,eucalyptus corrugata
Eucalyptus_corticosa_ANBG_54339,Eucalyptus,corticosa,,ANBG,54339,,,,ANBG_54339___,Eucalyptus corticosa ,eucalyptus corticosa
Eucalyptus_cosmophylla_ANBG_8409259,Eucalyptus,cosmophylla,,ANBG,8409259,,,,ANBG_8409259___,Eucalyptus cosmophylla ,eucalyptus cosmophylla
Eucalyptus_crebra_ANBG_732903,Eucalyptus,crebra,,ANBG,732903,,,,ANBG_732903___,Eucalyptus crebra ,eucalyptus crebra
Eucalyptus_crenulata_307,Eucalyptus,crenulata,,307,,,,,307____,Eucalyptus crenulata ,eucalyptus crenulata
Eucalyptus_creta_29,Eucalyptus,creta,,29,,,,,29____,Eucalyptus creta ,eucalyptus creta
Eucalyptus_cretata_271,Eucalyptus,cretata,,271,,,,,271____,Eucalyptus cretata ,eucalyptus cretata
Eucalyptus_croajingolensis_156,Eucalyptus,croajingolensis,,156,,,,,156____,Eucalyptus croajingolensis ,eucalyptus croajingolensis
Eucalyptus_crucis_subsp_crucis_45,Eucalyptus,crucis,crucis,,,45,,,__45__,Eucalyptus crucis subsp. crucis,eucalyptus crucis subsp. crucis
Eucalyptus_cunninghamii_9806132,Eucalyptus,cunninghamii,,9806132,,,,,9806132____,Eucalyptus cunninghamii ,eucalyptus cunninghamii
Eucalyptus_cuprea_437,Eucalyptus,cuprea,,437,,,,,437____,Eucalyptus cuprea ,eucalyptus cuprea
Eucalyptus_cupularis_CANB_785563,Eucalyptus,cupularis,,CANB,785563,,,,CANB_785563___,Eucalyptus cupularis ,eucalyptus cupularis
Eucalyptus_curtisii_632,Eucalyptus,curtisii,,632,,,,,632____,Eucalyptus curtisii ,eucalyptus curtisii
Eucalyptus_cuspidata_6,Eucalyptus,cuspidata,,6,,,,,6____,Eucalyptus cuspidata ,eucalyptus cuspidata
Eucalyptus_cyanophylla_338,Eucalyptus,cyanophylla,,338,,,,,338____,Eucalyptus cyanophylla ,eucalyptus cyanophylla
Eucalyptus_cyclostoma_9903101,Eucalyptus,cyclostoma,,9903101,,,,,9903101____,Eucalyptus cyclostoma ,eucalyptus cyclostoma
Eucalyptus_cylindriflora_CANB_794327,Eucalyptus,cylindriflora,,CANB,794327,,,,CANB_794327___,Eucalyptus cylindriflora ,eucalyptus cylindriflora
Eucalyptus_cylindrocarpa_AHT_E8,Eucalyptus,cylindrocarpa,,AHT,E8,,,,AHT_E8___,Eucalyptus cylindrocarpa ,eucalyptus cylindrocarpa
Eucalyptus_cypellocarpa_665,Eucalyptus,cypellocarpa,,665,,,,,665____,Eucalyptus cypellocarpa ,eucalyptus cypellocarpa
Eucalyptus_dalrympleana_subsp_dalrympleana_ANBG_7804378,Eucalyptus,dalrympleana,dalrympleana,,,ANBG,7804378,,__ANBG_7804378_,Eucalyptus dalrympleana subsp. dalrympleana,eucalyptus dalrympleana subsp. dalrympleana
Eucalyptus_dawsonii_762,Eucalyptus,dawsonii,,762,,,,,762____,Eucalyptus dawsonii ,eucalyptus dawsonii
Eucalyptus_dealbata_212,Eucalyptus,dealbata,,212,,,,,212____,Eucalyptus dealbata ,eucalyptus dealbata
Eucalyptus_deanei_623,Eucalyptus,deanei,,623,,,,,623____,Eucalyptus deanei ,eucalyptus deanei
Eucalyptus_decipiens_subsp_decipens_72,Eucalyptus,decipiens,decipens,,,72,,,__72__,Eucalyptus decipiens subsp. decipens,eucalyptus decipiens subsp. decipens
Eucalyptus_decolor_486,Eucalyptus,decolor,,486,,,,,486____,Eucalyptus decolor ,eucalyptus decolor
Eucalyptus_decorticans_73445,Eucalyptus,decorticans,,73445,,,,,73445____,Eucalyptus decorticans ,eucalyptus decorticans
Eucalyptus_decurva_MC_10965,Eucalyptus,decurva,,MC,10965,,,,MC_10965___,Eucalyptus decurva ,eucalyptus decurva
Eucalyptus_deflexa_364,Eucalyptus,deflexa,,364,,,,,364____,Eucalyptus deflexa ,eucalyptus deflexa
Eucalyptus_deglupta_BG_859,Eucalyptus,deglupta,,BG,859,,,,BG_859___,Eucalyptus deglupta ,eucalyptus deglupta
Eucalyptus_delegatensis_subsp_delegatensis_CANB_499445,Eucalyptus,delegatensis,delegatensis,,,CANB,499445,,__CANB_499445_,Eucalyptus delegatensis subsp. delegatensis,eucalyptus delegatensis subsp. delegatensis
Eucalyptus_delicata_514,Eucalyptus,delicata,,514,,,,,514____,Eucalyptus delicata ,eucalyptus delicata
Eucalyptus_densa_subsp_densa_363,Eucalyptus,densa,densa,,,363,,,__363__,Eucalyptus densa subsp. densa,eucalyptus densa subsp. densa
Eucalyptus_denticulata_378,Eucalyptus,denticulata,,378,,,,,378____,Eucalyptus denticulata ,eucalyptus denticulata
Eucalyptus_depauperata_CANB_794299,Eucalyptus,depauperata,,CANB,794299,,,,CANB_794299___,Eucalyptus depauperata ,eucalyptus depauperata
Eucalyptus_desmondensis_515,Eucalyptus,desmondensis,,515,,,,,515____,Eucalyptus desmondensis ,eucalyptus desmondensis
Eucalyptus_deuaensis_151,Eucalyptus,deuaensis,,151,,,,,151____,Eucalyptus deuaensis ,eucalyptus deuaensis
Eucalyptus_dielsii_74,Eucalyptus,dielsii,,74,,,,,74____,Eucalyptus dielsii ,eucalyptus dielsii
Eucalyptus_diminuta_438,Eucalyptus,diminuta,,438,,,,,438____,Eucalyptus diminuta ,eucalyptus diminuta
Eucalyptus_diptera_535,Eucalyptus,diptera,,535,,,,,535____,Eucalyptus diptera ,eucalyptus diptera
Eucalyptus_disclusa_232,Eucalyptus,disclusa,,232,,,,,232____,Eucalyptus disclusa ,eucalyptus disclusa
Eucalyptus_discreta_333,Eucalyptus,discreta,,333,,,,,333____,Eucalyptus discreta ,eucalyptus discreta
Eucalyptus_dissimulata_89,Eucalyptus,dissimulata,,89,,,,,89____,Eucalyptus dissimulata ,eucalyptus dissimulata
Eucalyptus_distans_CANB_409167,Eucalyptus,distans,,CANB,409167,,,,CANB_409167___,Eucalyptus distans ,eucalyptus distans
Eucalyptus_distuberosa_subsp_aerata_10,Eucalyptus,distuberosa,aerata,,,10,,,__10__,Eucalyptus distuberosa subsp. aerata,eucalyptus distuberosa subsp. aerata
Eucalyptus_diversicolor_ANBG_7901541,Eucalyptus,diversicolor,,ANBG,7901541,,,,ANBG_7901541___,Eucalyptus diversicolor ,eucalyptus diversicolor
Eucalyptus_diversifolia_subsp_diversifolia_390,Eucalyptus,diversifolia,diversifolia,,,390,,,__390__,Eucalyptus diversifolia subsp. diversifolia,eucalyptus diversifolia subsp. diversifolia
Eucalyptus_dives_ANBG_7809979,Eucalyptus,dives,,ANBG,7809979,,,,ANBG_7809979___,Eucalyptus dives ,eucalyptus dives
Eucalyptus_dolichocera_710,Eucalyptus,dolichocera,,710,,,,,710____,Eucalyptus dolichocera ,eucalyptus dolichocera
Eucalyptus_dolichorhyncha_192,Eucalyptus,dolichorhyncha,,192,,,,,192____,Eucalyptus dolichorhyncha ,eucalyptus dolichorhyncha
Eucalyptus_dolorosa_610751,Eucalyptus,dolorosa,,610751,,,,,610751____,Eucalyptus dolorosa ,eucalyptus dolorosa
Eucalyptus_dorotoxylon_719,Eucalyptus,dorotoxylon,,719,,,,,719____,Eucalyptus dorotoxylon ,eucalyptus dorotoxylon
Eucalyptus_drummondii_subsp_drummondii_352,Eucalyptus,drummondii,drummondii,,,352,,,__352__,Eucalyptus drummondii subsp. drummondii,eucalyptus drummondii subsp. drummondii
Eucalyptus_dumosa_329,Eucalyptus,dumosa,,329,,,,,329____,Eucalyptus dumosa ,eucalyptus dumosa
Eucalyptus_dundasii_528,Eucalyptus,dundasii,,528,,,,,528____,Eucalyptus dundasii ,eucalyptus dundasii
Eucalyptus_dunnii_691,Eucalyptus,dunnii,,691,,,,,691____,Eucalyptus dunnii ,eucalyptus dunnii
Eucalyptus_dura_775,Eucalyptus,dura,,775,,,,,775____,Eucalyptus dura ,eucalyptus dura
Eucalyptus_dwyeri_9406593,Eucalyptus,dwyeri,,9406593,,,,,9406593____,Eucalyptus dwyeri ,eucalyptus dwyeri
Eucalyptus_ebbanoensis_subsp_ebbanoensis_ANBG_9806509,Eucalyptus,ebbanoensis,ebbanoensis,,,ANBG,9806509,,__ANBG_9806509_,Eucalyptus ebbanoensis subsp. ebbanoensis,eucalyptus ebbanoensis subsp. ebbanoensis
Eucalyptus_educta_CANB_461013,Eucalyptus,educta,,CANB,461013,,,,CANB_461013___,Eucalyptus educta ,eucalyptus educta
Eucalyptus_effusa_subsp_effusa_39,Eucalyptus,effusa,effusa,,,39,,,__39__,Eucalyptus effusa subsp. effusa,eucalyptus effusa subsp. effusa
Eucalyptus_elaeophloia_372,Eucalyptus,elaeophloia,,372,,,,,372____,Eucalyptus elaeophloia ,eucalyptus elaeophloia
Eucalyptus_elata_ANBG_73059,Eucalyptus,elata,,ANBG,73059,,,,ANBG_73059___,Eucalyptus elata ,eucalyptus elata
Eucalyptus_elliptica_69616,Eucalyptus,elliptica,,69616,,,,,69616____,Eucalyptus elliptica ,eucalyptus elliptica
Eucalyptus_erectifolia_CANB_794270,Eucalyptus,erectifolia,,CANB,794270,,,,CANB_794270___,Eucalyptus erectifolia ,eucalyptus erectifolia
Eucalyptus_eremicola_subsp_eremicola_542,Eucalyptus,eremicola,eremicola,,,542,,,__542__,Eucalyptus eremicola subsp. eremicola,eucalyptus eremicola subsp. eremicola
Eucalyptus_eremophila_CANB_794301,Eucalyptus,eremophila,,CANB,794301,,,,CANB_794301___,Eucalyptus eremophila ,eucalyptus eremophila
Eucalyptus_erythrocorys,Eucalyptus,erythrocorys,,,,,,,____,Eucalyptus erythrocorys ,eucalyptus erythrocorys
Eucalyptus_erythronema_subsp_erythronema_19,Eucalyptus,erythronema,erythronema,,,19,,,__19__,Eucalyptus erythronema subsp. erythronema,eucalyptus erythronema subsp. erythronema
Eucalyptus_eudesmioides_subsp_eudesmioides_MC_10780,Eucalyptus,eudesmioides,eudesmioides,,,MC,10780,,__MC_10780_,Eucalyptus eudesmioides subsp. eudesmioides,eucalyptus eudesmioides subsp. eudesmioides
Eucalyptus_eugenioides_578,Eucalyptus,eugenioides,,578,,,,,578____,Eucalyptus eugenioides ,eucalyptus eugenioides
Eucalyptus_ewartiana_463,Eucalyptus,ewartiana,,463,,,,,463____,Eucalyptus ewartiana ,eucalyptus ewartiana
Eucalyptus_exigua_55,Eucalyptus,exigua,,55,,,,,55____,Eucalyptus exigua ,eucalyptus exigua
Eucalyptus_exilipes_CANB_582959,Eucalyptus,exilipes,,CANB,582959,,,,CANB_582959___,Eucalyptus exilipes ,eucalyptus exilipes
Eucalyptus_exilis_ANBG_8004906,Eucalyptus,exilis,,ANBG,8004906,,,,ANBG_8004906___,Eucalyptus exilis ,eucalyptus exilis
Eucalyptus_extensa_33,Eucalyptus,extensa,,33,,,,,33____,Eucalyptus extensa ,eucalyptus extensa
Eucalyptus_extrica_CANB_632680,Eucalyptus,extrica,,CANB,632680,,,,CANB_632680___,Eucalyptus extrica ,eucalyptus extrica
Eucalyptus_falcata_CANB_630597,Eucalyptus,falcata,,CANB,630597,,,,CANB_630597___,Eucalyptus falcata ,eucalyptus falcata
Eucalyptus_famelica_AHT_E23,Eucalyptus,famelica,,AHT,E23,,,,AHT_E23___,Eucalyptus famelica ,eucalyptus famelica
Eucalyptus_farinosa_CANB_738929,Eucalyptus,farinosa,,CANB,738929,,,,CANB_738929___,Eucalyptus farinosa ,eucalyptus farinosa
Eucalyptus_fasciculosa_289,Eucalyptus,fasciculosa,,289,,,,,289____,Eucalyptus fasciculosa ,eucalyptus fasciculosa
Eucalyptus_fastigata_8603812,Eucalyptus,fastigata,,8603812,,,,,8603812____,Eucalyptus fastigata ,eucalyptus fastigata
Eucalyptus_fergusonii_subsp_fergusonii_740,Eucalyptus,fergusonii,fergusonii,,,740,,,__740__,Eucalyptus fergusonii subsp. fergusonii,eucalyptus fergusonii subsp. fergusonii
Eucalyptus_fibrosa_subsp_fibrosa_631932,Eucalyptus,fibrosa,fibrosa,,,631932,,,__631932__,Eucalyptus fibrosa subsp. fibrosa,eucalyptus fibrosa subsp. fibrosa
Eucalyptus_flindersii_AHT_E6,Eucalyptus,flindersii,,AHT,E6,,,,AHT_E6___,Eucalyptus flindersii ,eucalyptus flindersii
Eucalyptus_flocktoniae_subsp_flocktoniae_288,Eucalyptus,flocktoniae,flocktoniae,,,288,,,__288__,Eucalyptus flocktoniae subsp. flocktoniae,eucalyptus flocktoniae subsp. flocktoniae
Eucalyptus_foecunda_320,Eucalyptus,foecunda,,320,,,,,320____,Eucalyptus foecunda ,eucalyptus foecunda
Eucalyptus_foliosa_CANB_794339,Eucalyptus,foliosa,,CANB,794339,,,,CANB_794339___,Eucalyptus foliosa ,eucalyptus foliosa
Eucalyptus_formanii_AHT_E26,Eucalyptus,formanii,,AHT,E26,,,,AHT_E26___,Eucalyptus formanii ,eucalyptus formanii
Eucalyptus_forrestiana_MC_11265,Eucalyptus,forrestiana,,MC,11265,,,,MC_11265___,Eucalyptus forrestiana ,eucalyptus forrestiana
Eucalyptus_fraseri_subsp_fraseri_36,Eucalyptus,fraseri,fraseri,,,36,,,__36__,Eucalyptus fraseri subsp. fraseri,eucalyptus fraseri subsp. fraseri
Eucalyptus_fraxinoides_751650,Eucalyptus,fraxinoides,,751650,,,,,751650____,Eucalyptus fraxinoides ,eucalyptus fraxinoides
Eucalyptus_frenchiana_11,Eucalyptus,frenchiana,,11,,,,,11____,Eucalyptus frenchiana ,eucalyptus frenchiana
Eucalyptus_froggattii_479,Eucalyptus,froggattii,,479,,,,,479____,Eucalyptus froggattii ,eucalyptus froggattii
Eucalyptus_fruticosa_30,Eucalyptus,fruticosa,,30,,,,,30____,Eucalyptus fruticosa ,eucalyptus fruticosa
Eucalyptus_fulgens_9707943,Eucalyptus,fulgens,,9707943,,,,,9707943____,Eucalyptus fulgens ,eucalyptus fulgens
Eucalyptus_fusiformis_8604718,Eucalyptus,fusiformis,,8604718,,,,,8604718____,Eucalyptus fusiformis ,eucalyptus fusiformis
Eucalyptus_gamophylla_MC_10612,Eucalyptus,gamophylla,,MC,10612,,,,MC_10612___,Eucalyptus gamophylla ,eucalyptus gamophylla
Eucalyptus_gardneri_subsp_gardneri_593,Eucalyptus,gardneri,gardneri,,,593,,,__593__,Eucalyptus gardneri subsp. gardneri,eucalyptus gardneri subsp. gardneri
Eucalyptus_georgei_subsp_georgei_323,Eucalyptus,georgei,georgei,,,323,,,__323__,Eucalyptus georgei subsp. georgei,eucalyptus georgei subsp. georgei
Eucalyptus_gigantangion_CANB_454615,Eucalyptus,gigantangion,,CANB,454615,,,,CANB_454615___,Eucalyptus gigantangion ,eucalyptus gigantangion
Eucalyptus_gillenii_720,Eucalyptus,gillenii,,720,,,,,720____,Eucalyptus gillenii ,eucalyptus gillenii
Eucalyptus_gillii_459,Eucalyptus,gillii,,459,,,,,459____,Eucalyptus gillii ,eucalyptus gillii
Eucalyptus_gittinsii_subsp_gittinsii_MC_10801,Eucalyptus,gittinsii,gittinsii,,,MC,10801,,__MC_10801_,Eucalyptus gittinsii subsp. gittinsii,eucalyptus gittinsii subsp. gittinsii
Eucalyptus_glaucescens_218,Eucalyptus,glaucescens,,218,,,,,218____,Eucalyptus glaucescens ,eucalyptus glaucescens
Eucalyptus_glaucina_626,Eucalyptus,glaucina,,626,,,,,626____,Eucalyptus glaucina ,eucalyptus glaucina
Eucalyptus_globoidea_729,Eucalyptus,globoidea,,729,,,,,729____,Eucalyptus globoidea ,eucalyptus globoidea
Eucalyptus_globulus_subsp_globulus_ANBG_85001816,Eucalyptus,globulus,globulus,,,ANBG,85001816,,__ANBG_85001816_,Eucalyptus globulus subsp. globulus,eucalyptus globulus subsp. globulus
Eucalyptus_glomerosa_538,Eucalyptus,glomerosa,,538,,,,,538____,Eucalyptus glomerosa ,eucalyptus glomerosa
Eucalyptus_gomphocephala_357,Eucalyptus,gomphocephala,,357,,,,,357____,Eucalyptus gomphocephala ,eucalyptus gomphocephala
Eucalyptus_gongylocarpa_MC_11097,Eucalyptus,gongylocarpa,,MC,11097,,,,MC_11097___,Eucalyptus gongylocarpa ,eucalyptus gongylocarpa
Eucalyptus_goniantha_subsp_goniantha_286,Eucalyptus,goniantha,goniantha,,,286,,,__286__,Eucalyptus goniantha subsp. goniantha,eucalyptus goniantha subsp. goniantha
Eucalyptus_goniocalyx_subsp_goniocalyx_669,Eucalyptus,goniocalyx,goniocalyx,,,669,,,__669__,Eucalyptus goniocalyx subsp. goniocalyx,eucalyptus goniocalyx subsp. goniocalyx
Eucalyptus_goniocarpa_536,Eucalyptus,goniocarpa,,536,,,,,536____,Eucalyptus goniocarpa ,eucalyptus goniocarpa
Eucalyptus_gracilis_202,Eucalyptus,gracilis,,202,,,,,202____,Eucalyptus gracilis ,eucalyptus gracilis
Eucalyptus_grandis,Eucalyptus,grandis,,,,,,,____,Eucalyptus grandis ,eucalyptus grandis
Eucalyptus_granitica_Mt_Annan_831413,Eucalyptus,granitica,,Mt,Ann,831413,,,Mt_Ann_831413__,Eucalyptus granitica ,eucalyptus granitica
Eucalyptus_gregoriensis_503,Eucalyptus,gregoriensis,,503,,,,,503____,Eucalyptus gregoriensis ,eucalyptus gregoriensis
Eucalyptus_gregsoniana_157,Eucalyptus,gregsoniana,,157,,,,,157____,Eucalyptus gregsoniana ,eucalyptus gregsoniana
Eucalyptus_griffithsii_15,Eucalyptus,griffithsii,,15,,,,,15____,Eucalyptus griffithsii ,eucalyptus griffithsii
Eucalyptus_grisea_690,Eucalyptus,grisea,,690,,,,,690____,Eucalyptus grisea ,eucalyptus grisea
Eucalyptus_grossa_CANB_794307,Eucalyptus,grossa,,CANB,794307,,,,CANB_794307___,Eucalyptus grossa ,eucalyptus grossa
Eucalyptus_guilfoylei_MC_10953,Eucalyptus,guilfoylei,,MC,10953,,,,MC_10953___,Eucalyptus guilfoylei ,eucalyptus guilfoylei
Eucalyptus_gunnii_ANBG_656505,Eucalyptus,gunnii,,ANBG,656505,,,,ANBG_656505___,Eucalyptus gunnii ,eucalyptus gunnii
Eucalyptus_gypsophila_543,Eucalyptus,gypsophila,,543,,,,,543____,Eucalyptus gypsophila ,eucalyptus gypsophila
